Project_ID,Budget,Material_Cost,Labor_Cost,Equipment_Cost,Total_Expense,Budget_Overrun
P0001,25080668,2484265,7864467,4684875,15033607,No
P0002,29236617,6962781,5209137,4189739,16361657,No
P0003,10644034,4904797,2305692,166463,7376952,No
P0004,45294222,4309683,7687790,299935,12297408,No
P0005,11716877,7066467,837588,4708256,12612311,Yes
P0006,33969717,7488942,6638738,109147,14236827,No
P0007,34717447,2061915,4717628,4643820,11423363,No
P0008,39350404,7970266,5733339,3280813,16984418,No
P0009,47719333,558218,5521364,449766,6529348,No
P0010,45362735,4069783,1854698,1449632,7374113,No
P0011,43795527,2605712,1865310,2559671,7030693,No
P0012,22918335,3856538,3233575,1848835,8938948,No
P0013,29960020,6372447,565488,2082872,9020807,No
P0014,29793108,9936261,4415933,711994,15064188,No
P0015,12440417,2344276,6794623,3874789,13013688,Yes
P0016,46681712,9041670,4272638,2189107,15503415,No
P0017,5854296,3462723,391384,503078,4357185,No
P0018,35786803,8294873,3217954,2181706,13694533,No
P0019,15294199,9261741,7666562,1121171,18049474,Yes
P0020,40872802,9302401,6555096,1530091,17387588,No
P0021,12792138,9923554,6297296,572136,16792986,Yes
P0022,40194825,4316145,5877038,1721966,11915149,No
P0023,42691869,5119890,2939079,4600753,12659722,No
P0024,32135353,3356646,4436097,239868,8032611,No
P0025,12918878,5199354,1732828,1726449,8658631,No
P0026,9916977,8115130,1765798,1371067,11251995,Yes
P0027,30435457,5599435,603470,4059530,10262435,No
P0028,5347289,6059249,1978788,3192850,11230887,Yes
P0029,37895928,5786944,6834915,3166373,15788232,No
P0030,8612001,2428406,4133433,650804,7212643,No
P0031,22503365,750312,6290529,3639456,10680297,No
P0032,37974195,5853756,3720299,966721,10540776,No
P0033,17690164,3040209,1509292,3404014,7953515,No
P0034,29063718,9183503,5228629,2146101,16558233,No
P0035,49178342,4019751,6178817,2735343,12933911,No
P0036,32124550,8088246,5580609,2153714,15822569,No
P0037,12408218,5105060,3331966,1887659,10324685,No
P0038,37153894,7504070,3414458,4535348,15453876,No
P0039,39984156,2342465,1535448,2431047,6308960,No
P0040,30789268,2144887,7235550,2477645,11858082,No
P0041,47372979,3490013,5419523,1329134,10238670,No
P0042,49822303,8066281,4384275,4411656,16862212,No
P0043,8734883,8611173,4559716,913787,14084676,Yes
P0044,10957985,947948,5388860,1359361,7696169,No
P0045,40265655,8189729,5739325,836436,14765490,No
P0046,6326410,7382866,2626178,4719094,14728138,Yes
P0047,42296061,1397516,429765,1202665,3029946,No
P0048,42659767,5241800,6586791,2431590,14260181,No
P0049,23237841,4355837,7495290,4880363,16731490,No
P0050,40690291,7105697,3733188,3452580,14291465,No
P0051,49580141,4847742,7705453,4608932,17162127,No
P0052,10441227,8837054,4964498,4631507,18433059,Yes
P0053,36734379,4725951,6018768,4830454,15575173,No
P0054,24206688,4589145,1507645,1729129,7825919,No
P0055,35301916,9862808,6449915,2798089,19110812,No
P0056,40454129,4652927,3828217,2099994,10581138,No
P0057,14334610,7825439,372276,4432049,12629764,No
P0058,18700897,4521524,6485139,4531326,15537989,No
P0059,10080568,8498995,4197941,1703969,14400905,Yes
P0060,32474007,9672145,5075314,4114902,18862361,No
P0061,12106013,4839583,2004826,485576,7329985,No
P0062,13908639,1188135,7164694,2077230,10430059,No
P0063,15426137,4248242,5979211,2161105,12388558,No
P0064,13439845,4505504,1918101,3476507,9900112,No
P0065,44766690,3331523,2226568,418714,5976805,No
P0066,30958019,2663018,965498,2490904,6119420,No
P0067,5992794,3299794,5042461,727817,9070072,Yes
P0068,38868302,1830116,7337218,2054385,11221719,No
P0069,32022691,5864550,6982014,4650470,17497034,No
P0070,40655460,2771799,3232301,3544656,9548756,No
P0071,7234433,3633940,4664907,567822,8866669,Yes
P0072,35316213,4626549,5110403,333747,10070699,No
P0073,48907926,4520515,2812762,4139810,11473087,No
P0074,45475043,9736415,6963454,1581812,18281681,No
P0075,34411414,6091891,6167588,2003644,14263123,No
P0076,28933712,2802297,6753991,956824,10513112,No
P0077,35413804,9820141,3840617,1999131,15659889,No
P0078,5224717,2715539,6654179,3434279,12803997,Yes
P0079,15496279,5270444,7766207,3546789,16583440,Yes
P0080,29780938,8562406,2635392,4698125,15895923,No
P0081,35918273,2462243,7354943,4620171,14437357,No
P0082,17046970,746124,6529578,4946999,12222701,No
P0083,47464715,4031195,4565406,2999838,11596439,No
P0084,42455260,9160419,2550215,3998380,15709014,No
P0085,25645930,2595646,2482430,288889,5366965,No
P0086,40497752,1390485,4206018,4637272,10233775,No
P0087,11800783,7415759,6374697,1683080,15473536,Yes
P0088,26975738,9389191,7388728,2132176,18910095,No
P0089,22075157,9686509,3232587,1953182,14872278,No
P0090,24219314,6482003,3172063,287055,9941121,No
P0091,46164017,6232379,5050231,1916890,13199500,No
P0092,35977874,9399159,3907592,2892082,16198833,No
P0093,28843984,6868850,5767757,2317249,14953856,No
P0094,30376303,8034044,1128065,4366547,13528656,No
P0095,18979743,9930797,3533097,762196,14226090,No
P0096,39169959,7447273,3831648,115027,11393948,No
P0097,24960678,7826176,2999983,100871,10927030,No
P0098,7512393,2043379,3347033,1402371,6792783,No
P0099,28634671,5755573,2110002,1825385,9690960,No
P0100,28588488,703214,1302681,1403825,3409720,No
P0101,11547836,8197443,5368180,2616923,16182546,Yes
P0102,49068090,6550174,3612862,3461720,13624756,No
P0103,21732742,5185803,906620,4393309,10485732,No
P0104,48402130,7858290,3950965,1082736,12891991,No
P0105,19115497,9422274,2637232,2202186,14261692,No
P0106,29501096,2074470,6141416,4512917,12728803,No
P0107,33968296,4354987,6303987,886070,11545044,No
P0108,34543998,1949749,7270399,2841780,12061928,No
P0109,39718854,7243390,3676305,1116378,12036073,No
P0110,5141132,2023598,4324164,624854,6972616,Yes
P0111,41009622,9473417,1234020,4316918,15024355,No
P0112,40918263,2978116,1269842,3247908,7495866,No
P0113,14588555,5263719,2984636,1252288,9500643,No
P0114,45371886,7478751,3569339,1865410,12913500,No
P0115,24605692,3736439,704278,2208244,6648961,No
P0116,45688595,4392328,7266006,4373042,16031376,No
P0117,34101039,7330880,3410248,2306234,13047362,No
P0118,37401664,6858006,2845596,3298532,13002134,No
P0119,48836632,8151039,1516419,3140683,12808141,No
P0120,35381687,9730737,3201482,2838556,15770775,No
P0121,31345807,4850425,7042926,3017978,14911329,No
P0122,27025660,9234544,3660332,1872988,14767864,No
P0123,13974632,3377764,560090,4879007,8816861,No
P0124,42521009,3444282,1087275,1576960,6108517,No
P0125,44426599,7860561,3199109,2746941,13806611,No
P0126,10440952,2207946,5431014,113961,7752921,No
P0127,23248132,7307693,7822248,2866478,17996419,No
P0128,46560656,7427450,6985529,1771899,16184878,No
P0129,32365628,9937473,2738965,4679580,17356018,No
P0130,47404481,6364542,4281304,4630741,15276587,No
P0131,31907175,8635657,2183049,744989,11563695,No
P0132,19085446,6102483,4641159,2098255,12841897,No
P0133,29978234,8411028,4695586,2146847,15253461,No
P0134,33996360,7276374,4889082,3142649,15308105,No
P0135,35489435,3253454,960007,1482346,5695807,No
P0136,43081425,3168664,7152121,755062,11075847,No
P0137,24262052,7417200,5482935,4982537,17882672,No
P0138,6490754,6333462,6415858,219027,12968347,Yes
P0139,37218676,670697,7923601,199350,8793648,No
P0140,14189662,4267545,4628137,2386283,11281965,No
P0141,16130558,9160386,3276862,3119438,15556686,No
P0142,17697396,8603825,358044,4126458,13088327,No
P0143,17982885,7938840,7549101,4165019,19652960,Yes
P0144,8229642,3828997,2362137,779674,6970808,No
P0145,25302835,8552148,6071106,1746905,16370159,No
P0146,14410470,3044449,6739990,1057525,10841964,No
P0147,45003103,3731404,2804202,2118125,8653731,No
P0148,10508078,1714022,463074,3287705,5464801,No
P0149,31454217,8139143,5904221,3540474,17583838,No
P0150,11428388,2527447,5258969,128199,7914615,No
P0151,25850317,5186495,7205550,4838255,17230300,No
P0152,31145394,9987895,7420475,2526610,19934980,No
P0153,21563161,6076810,5434388,4511523,16022721,No
P0154,7767145,4023800,7447379,1776518,13247697,Yes
P0155,49161263,4999807,5496975,2982721,13479503,No
P0156,21218440,5778450,4407006,3670467,13855923,No
P0157,21468485,2970920,1419725,3631409,8022054,No
P0158,34348883,7482734,1863287,3314036,12660057,No
P0159,48478310,8012949,7031535,1327756,16372240,No
P0160,30041563,3972344,7007758,1021385,12001487,No
P0161,37191435,9088298,2209295,3438505,14736098,No
P0162,9927425,8725914,3084658,236933,12047505,Yes
P0163,22336458,4599822,6720007,2832154,14151983,No
P0164,14683243,9809487,951911,2412198,13173596,No
P0165,47176544,5105230,3220853,4174934,12501017,No
P0166,9914994,7079243,2786713,4659565,14525521,Yes
P0167,44725864,8845043,1823606,4441243,15109892,No
P0168,13066145,9490066,5798299,4404642,19693007,Yes
P0169,20818781,2621066,4448802,4192243,11262111,No
P0170,6439884,3806506,6273837,2820588,12900931,Yes
P0171,27396881,4028316,3387724,2067085,9483125,No
P0172,16814976,1365760,5245232,2897643,9508635,No
P0173,12790211,9506891,2025683,643887,12176461,No
P0174,45861855,7794124,5918085,431146,14143355,No
P0175,44765603,4867692,6728402,427625,12023719,No
