Project_ID,Equipment,Working,Maintenance,Failure,Age
P0001,Bulldozer,Yes,Yes,No,10
P0002,Crane,No,Yes,Yes,3
P0003,Crane,No,No,Yes,15
P0004,Loader,Yes,Yes,No,6
P0005,Mixer,No,No,No,5
P0006,Bulldozer,Yes,No,No,9
P0007,Bulldozer,Yes,Yes,No,8
P0008,Mixer,Yes,Yes,Yes,13
P0009,Bulldozer,No,No,No,14
P0010,Loader,Yes,Yes,No,4
P0011,Mixer,No,Yes,No,8
P0012,Excavator,Yes,No,No,7
P0013,Loader,Yes,Yes,No,10
P0014,Bulldozer,No,Yes,No,5
P0015,Bulldozer,Yes,No,Yes,6
P0016,Excavator,No,No,Yes,15
P0017,Mixer,No,Yes,No,14
P0018,Excavator,Yes,No,No,9
P0019,Excavator,No,Yes,Yes,9
P0020,Mixer,Yes,No,No,10
P0021,Mixer,Yes,No,No,7
P0022,Excavator,Yes,No,Yes,6
P0023,Mixer,Yes,Yes,Yes,14
P0024,Excavator,No,Yes,No,3
P0025,Crane,Yes,No,No,12
P0026,Bulldozer,No,Yes,No,14
P0027,Bulldozer,Yes,No,Yes,9
P0028,Crane,No,No,Yes,1
P0029,Loader,Yes,Yes,Yes,4
P0030,Crane,No,No,No,7
P0031,Bulldozer,Yes,No,Yes,3
P0032,Crane,Yes,No,Yes,6
P0033,Excavator,Yes,Yes,No,5
P0034,Loader,Yes,No,No,1
P0035,Loader,Yes,Yes,Yes,8
P0036,Bulldozer,No,No,No,5
P0037,Mixer,No,No,No,1
P0038,Bulldozer,Yes,No,Yes,9
P0039,Excavator,Yes,No,No,12
P0040,Loader,Yes,Yes,Yes,10
P0041,Excavator,Yes,No,Yes,2
P0042,Loader,No,Yes,Yes,15
P0043,Mixer,No,No,Yes,13
P0044,Loader,No,No,No,8
P0045,Loader,No,Yes,Yes,7
P0046,Loader,No,No,Yes,10
P0047,Loader,No,Yes,No,7
P0048,Excavator,Yes,Yes,Yes,5
P0049,Excavator,Yes,Yes,No,6
P0050,Bulldozer,Yes,No,Yes,8
P0051,Bulldozer,No,Yes,Yes,10
P0052,Excavator,Yes,No,Yes,4
P0053,Mixer,Yes,No,No,13
P0054,Crane,Yes,Yes,Yes,6
P0055,Crane,No,Yes,No,14
P0056,Mixer,Yes,No,Yes,11
P0057,Mixer,No,Yes,Yes,6
P0058,Excavator,No,No,No,7
P0059,Mixer,Yes,No,Yes,7
P0060,Bulldozer,No,Yes,Yes,1
P0061,Excavator,Yes,Yes,No,3
P0062,Loader,Yes,No,Yes,1
P0063,Crane,Yes,Yes,Yes,10
P0064,Mixer,No,Yes,No,15
P0065,Excavator,Yes,Yes,Yes,15
P0066,Mixer,Yes,Yes,Yes,15
P0067,Excavator,Yes,No,No,7
P0068,Mixer,No,No,No,12
P0069,Bulldozer,Yes,No,No,7
P0070,Excavator,No,No,Yes,7
P0071,Bulldozer,Yes,Yes,No,9
P0072,Mixer,No,No,No,1
P0073,Loader,No,Yes,No,15
P0074,Mixer,No,No,No,12
P0075,Bulldozer,No,Yes,No,14
P0076,Bulldozer,Yes,Yes,No,1
P0077,Bulldozer,No,Yes,No,7
P0078,Mixer,Yes,No,No,1
P0079,Mixer,Yes,No,Yes,1
P0080,Bulldozer,No,Yes,Yes,2
P0081,Loader,No,No,Yes,9
P0082,Loader,No,No,No,14
P0083,Crane,No,Yes,No,2
P0084,Excavator,Yes,Yes,No,8
P0085,Bulldozer,No,Yes,Yes,12
P0086,Mixer,No,No,Yes,15
P0087,Loader,Yes,Yes,No,10
P0088,Crane,Yes,No,Yes,6
P0089,Excavator,No,No,No,5
P0090,Mixer,Yes,No,Yes,13
P0091,Loader,Yes,Yes,Yes,15
P0092,Loader,No,Yes,No,10
P0093,Mixer,Yes,No,Yes,14
P0094,Loader,Yes,No,No,13
P0095,Excavator,Yes,No,Yes,4
P0096,Bulldozer,Yes,No,No,13
P0097,Crane,No,Yes,No,8
P0098,Excavator,Yes,No,Yes,10
P0099,Excavator,No,Yes,No,8
P0100,Mixer,No,Yes,Yes,14
P0101,Mixer,No,Yes,Yes,4
P0102,Loader,Yes,No,Yes,11
P0103,Bulldozer,No,Yes,No,10
P0104,Crane,Yes,Yes,Yes,14
P0105,Excavator,Yes,Yes,Yes,5
P0106,Crane,No,No,No,8
P0107,Mixer,No,No,Yes,3
P0108,Excavator,No,Yes,Yes,11
P0109,Mixer,No,No,No,5
P0110,Bulldozer,Yes,No,Yes,15
P0111,Excavator,Yes,Yes,No,12
P0112,Bulldozer,Yes,No,Yes,11
P0113,Bulldozer,Yes,No,Yes,7
P0114,Excavator,No,Yes,No,10
P0115,Loader,No,Yes,Yes,8
P0116,Excavator,Yes,No,Yes,3
P0117,Bulldozer,No,No,No,11
P0118,Loader,No,No,No,12
P0119,Loader,Yes,Yes,Yes,6
P0120,Bulldozer,No,No,Yes,3
P0121,Mixer,Yes,No,No,15
P0122,Mixer,Yes,No,Yes,10
P0123,Loader,No,No,Yes,13
P0124,Mixer,Yes,Yes,No,12
P0125,Bulldozer,No,No,Yes,11
P0126,Bulldozer,No,No,Yes,1
P0127,Mixer,No,No,Yes,3
P0128,Loader,No,Yes,Yes,5
P0129,Loader,Yes,Yes,Yes,13
P0130,Mixer,Yes,Yes,No,3
P0131,Crane,No,Yes,No,13
P0132,Excavator,Yes,Yes,Yes,1
P0133,Excavator,Yes,Yes,Yes,15
P0134,Mixer,No,Yes,Yes,11
P0135,Excavator,Yes,No,Yes,14
P0136,Mixer,Yes,Yes,Yes,14
P0137,Excavator,Yes,No,No,4
P0138,Mixer,Yes,No,Yes,11
P0139,Crane,Yes,No,No,15
P0140,Excavator,No,No,Yes,3
P0141,Crane,No,No,No,6
P0142,Mixer,Yes,No,No,12
P0143,Bulldozer,No,No,Yes,3
P0144,Crane,No,Yes,Yes,6
P0145,Loader,Yes,No,No,6
P0146,Excavator,Yes,No,No,13
P0147,Loader,No,Yes,Yes,2
P0148,Bulldozer,No,Yes,No,6
P0149,Excavator,Yes,Yes,No,4
P0150,Excavator,Yes,No,Yes,15
P0151,Loader,Yes,Yes,No,6
P0152,Loader,No,No,No,6
P0153,Excavator,Yes,Yes,Yes,11
P0154,Mixer,Yes,No,No,11
P0155,Mixer,No,Yes,No,5
P0156,Crane,Yes,Yes,No,9
P0157,Loader,No,No,No,14
P0158,Bulldozer,No,No,Yes,7
P0159,Excavator,Yes,Yes,Yes,13
P0160,Loader,No,Yes,No,10
P0161,Crane,Yes,No,No,3
P0162,Mixer,No,Yes,No,11
P0163,Loader,No,Yes,No,8
P0164,Bulldozer,No,Yes,Yes,10
P0165,Crane,No,No,Yes,12
P0166,Bulldozer,Yes,Yes,No,9
P0167,Mixer,No,No,No,14
P0168,Crane,No,No,Yes,4
P0169,Mixer,Yes,Yes,Yes,6
P0170,Crane,Yes,No,No,10
P0171,Excavator,No,No,Yes,10
P0172,Loader,Yes,No,No,12
P0173,Crane,No,Yes,No,3
P0174,Excavator,No,No,No,8
P0175,Mixer,No,No,Yes,13
P0176,Crane,Yes,No,No,5
P0177,Bulldozer,Yes,No,No,6
P0178,Crane,No,Yes,Yes,4
P0179,Bulldozer,No,Yes,Yes,15
P0180,Crane,Yes,Yes,No,2
P0181,Loader,No,No,No,6
P0182,Loader,Yes,No,Yes,15
P0183,Excavator,No,No,Yes,2
P0184,Crane,Yes,Yes,No,5
P0185,Mixer,Yes,No,No,1
P0186,Crane,No,No,Yes,10
P0187,Loader,Yes,Yes,Yes,5
P0188,Bulldozer,No,Yes,No,10
P0189,Crane,Yes,No,No,9
P0190,Excavator,No,Yes,Yes,8
P0191,Excavator,No,Yes,Yes,4
P0192,Excavator,No,Yes,No,8
P0193,Excavator,No,Yes,No,11
P0194,Excavator,Yes,Yes,No,3
P0195,Crane,Yes,Yes,No,8
P0196,Excavator,No,Yes,No,8
P0197,Mixer,No,No,Yes,9
P0198,Crane,No,No,No,1
P0199,Loader,No,No,Yes,2
P0200,Excavator,Yes,No,No,9
P0201,Crane,Yes,Yes,No,8
P0202,Loader,No,Yes,Yes,2
P0203,Bulldozer,Yes,No,No,6
P0204,Excavator,Yes,No,No,9
P0205,Bulldozer,Yes,No,No,9
P0206,Loader,Yes,No,Yes,8
P0207,Crane,No,No,Yes,15
P0208,Loader,Yes,Yes,No,10
P0209,Mixer,No,Yes,No,9
P0210,Mixer,No,Yes,Yes,5
P0211,Excavator,No,Yes,Yes,13
P0212,Crane,No,No,Yes,5
P0213,Crane,No,Yes,Yes,3
P0214,Bulldozer,No,Yes,Yes,3
P0215,Mixer,Yes,Yes,No,3
P0216,Loader,No,Yes,No,11
P0217,Crane,No,Yes,No,4
P0218,Excavator,Yes,No,No,5
