Project_ID,Concrete_Strength,Steel_Quality,Cracks,Quality_Risk
P0001,20,Poor,Yes,Medium
P0002,25,Average,No,Low
P0003,31,Good,Yes,Low
P0004,24,Good,Yes,High
P0005,34,Average,Yes,High
P0006,25,Average,Yes,High
P0007,33,Good,Yes,Low
P0008,25,Average,No,Low
P0009,47,Good,No,High
P0010,50,Poor,No,Medium
P0011,36,Average,No,Medium
P0012,24,Good,No,High
P0013,37,Poor,No,Medium
P0014,33,Poor,Yes,Medium
P0015,43,Average,Yes,High
P0016,22,Average,Yes,Low
P0017,47,Average,Yes,Low
P0018,27,Good,No,Low
P0019,27,Poor,Yes,Low
P0020,33,Poor,Yes,Medium
P0021,31,Average,No,High
P0022,33,Poor,No,Medium
P0023,44,Poor,Yes,High
P0024,24,Poor,No,Medium
P0025,35,Good,Yes,High
P0026,28,Good,No,Low
P0027,34,Good,No,Medium
P0028,32,Average,No,Medium
P0029,47,Good,Yes,Low
P0030,30,Average,No,Low
P0031,45,Average,No,High
P0032,24,Good,Yes,Low
P0033,39,Average,Yes,Medium
P0034,42,Good,Yes,Low
P0035,29,Average,Yes,Medium
P0036,38,Good,No,Medium
P0037,49,Good,Yes,High
P0038,20,Average,No,Low
P0039,44,Good,No,High
P0040,27,Average,Yes,Low
P0041,40,Good,No,Medium
P0042,31,Poor,No,High
P0043,34,Poor,No,Medium
P0044,37,Average,No,Medium
P0045,39,Average,No,Medium
P0046,49,Poor,Yes,Medium
P0047,20,Average,Yes,Medium
P0048,38,Average,Yes,Low
P0049,24,Average,Yes,Low
P0050,48,Average,No,Low
P0051,27,Poor,No,High
P0052,36,Good,No,High
P0053,43,Average,Yes,Medium
P0054,26,Average,Yes,High
P0055,47,Poor,No,High
P0056,46,Poor,Yes,Low
P0057,46,Average,No,High
P0058,50,Poor,Yes,High
P0059,25,Average,Yes,Medium
P0060,30,Good,No,High
P0061,33,Poor,No,Low
P0062,41,Average,Yes,Low
P0063,26,Average,Yes,Low
P0064,29,Good,No,Medium
P0065,40,Good,No,High
P0066,46,Poor,Yes,Low
P0067,48,Average,No,Low
P0068,37,Average,No,Medium
P0069,41,Good,No,Low
P0070,23,Poor,No,High
P0071,31,Average,No,Low
P0072,25,Good,Yes,High
P0073,38,Average,No,Low
P0074,46,Average,Yes,High
P0075,29,Good,No,Low
P0076,41,Good,Yes,Low
P0077,45,Average,No,Low
P0078,43,Good,No,High
P0079,39,Poor,No,High
P0080,32,Poor,Yes,High
P0081,50,Poor,No,High
P0082,39,Good,No,High
P0083,50,Poor,No,Medium
P0084,43,Average,No,Medium
P0085,21,Poor,No,Medium
P0086,30,Average,No,Medium
P0087,36,Good,Yes,Low
P0088,28,Poor,No,Low
P0089,38,Poor,Yes,Medium
P0090,26,Average,No,High
P0091,36,Average,Yes,High
P0092,40,Poor,No,Medium
P0093,36,Good,Yes,Medium
P0094,34,Good,No,Low
P0095,23,Poor,Yes,Medium
P0096,27,Average,No,High
P0097,34,Good,No,High
P0098,26,Good,Yes,Medium
P0099,35,Poor,Yes,High
P0100,22,Average,No,Medium
P0101,44,Average,Yes,High
P0102,21,Average,Yes,High
P0103,44,Good,No,High
P0104,47,Average,No,High
P0105,37,Good,Yes,High
P0106,28,Good,No,Medium
P0107,42,Poor,Yes,Low
P0108,38,Good,No,High
P0109,44,Good,No,High
P0110,39,Average,No,High
P0111,28,Good,No,Medium
P0112,47,Poor,No,Medium
P0113,22,Poor,Yes,High
P0114,44,Average,Yes,Medium
P0115,46,Poor,Yes,Low
P0116,46,Average,Yes,Low
P0117,24,Good,Yes,High
P0118,45,Poor,No,High
P0119,28,Average,Yes,Low
P0120,46,Poor,No,High
P0121,22,Poor,Yes,Low
P0122,31,Poor,Yes,Medium
P0123,21,Average,Yes,Low
P0124,24,Poor,No,Low
P0125,50,Average,No,High
P0126,35,Average,Yes,High
P0127,46,Good,No,Medium
P0128,38,Average,Yes,High
P0129,35,Average,No,High
P0130,47,Poor,No,Medium
P0131,36,Average,Yes,Medium
P0132,45,Good,No,Low
P0133,47,Average,Yes,Low
P0134,28,Poor,Yes,High
P0135,48,Average,No,High
P0136,43,Poor,No,Low
P0137,46,Poor,No,Medium
P0138,39,Average,Yes,Medium
P0139,22,Good,Yes,Medium
P0140,45,Good,Yes,Medium
P0141,25,Poor,No,Medium
P0142,27,Good,Yes,Low
P0143,42,Poor,No,Low
P0144,48,Good,Yes,High
P0145,39,Average,No,High
P0146,38,Good,Yes,Medium
P0147,48,Poor,Yes,Medium
P0148,20,Poor,No,Medium
P0149,26,Average,Yes,Medium
P0150,26,Good,Yes,Low
P0151,28,Poor,Yes,High
P0152,35,Average,Yes,Medium
P0153,38,Average,No,Low
P0154,28,Average,Yes,High
P0155,47,Poor,Yes,High
P0156,38,Poor,No,High
P0157,26,Poor,Yes,Low
P0158,49,Poor,No,High
P0159,33,Average,Yes,High
P0160,28,Good,No,High
P0161,32,Average,Yes,High
P0162,47,Good,Yes,Medium
P0163,21,Poor,No,Medium
P0164,42,Poor,Yes,Low
P0165,34,Average,No,Low
P0166,42,Average,Yes,Medium
P0167,47,Good,Yes,Medium
P0168,28,Good,Yes,Low
P0169,42,Poor,Yes,High
P0170,37,Average,No,Medium
P0171,46,Average,Yes,Low
P0172,28,Poor,Yes,Low
P0173,37,Poor,Yes,Medium
P0174,28,Average,Yes,Low
P0175,49,Average,No,Medium
P0176,36,Good,No,Medium
P0177,45,Average,Yes,Medium
P0178,36,Good,No,Medium
P0179,29,Poor,No,High
P0180,32,Average,No,Low
P0181,32,Average,No,Low
P0182,26,Poor,No,Low
P0183,33,Average,Yes,Low
P0184,20,Poor,Yes,High
P0185,33,Good,Yes,High
P0186,22,Average,Yes,Medium
P0187,35,Average,Yes,High
P0188,38,Average,No,Low
P0189,21,Poor,Yes,Low
P0190,26,Good,Yes,Medium
P0191,48,Poor,Yes,Low
P0192,34,Average,Yes,High
P0193,50,Average,No,Low
P0194,41,Good,Yes,High
P0195,36,Average,Yes,Low
P0196,41,Average,Yes,High
P0197,44,Poor,Yes,Low
P0198,34,Good,No,Medium
P0199,22,Poor,No,Medium
P0200,41,Average,Yes,Medium
P0201,43,Good,No,Medium
P0202,47,Good,No,High
P0203,36,Average,No,High
P0204,42,Average,No,Low
P0205,42,Good,No,Medium
P0206,45,Good,No,Medium
P0207,30,Good,No,High
P0208,27,Poor,Yes,Medium
P0209,33,Poor,Yes,Medium
P0210,46,Good,No,Low
P0211,24,Good,Yes,High
P0212,46,Good,No,High
P0213,32,Good,Yes,High
P0214,35,Average,Yes,Medium
P0215,48,Poor,No,Low
P0216,35,Good,Yes,Low
P0217,34,Average,Yes,High
P0218,38,Poor,No,High
P0219,35,Poor,No,High
P0220,32,Poor,Yes,Medium
P0221,41,Average,Yes,High
P0222,38,Good,Yes,High
P0223,28,Good,No,Medium
P0224,28,Good,No,Medium
P0225,45,Good,Yes,High
P0226,46,Good,No,High
P0227,33,Average,No,Medium
P0228,41,Average,No,Medium
P0229,36,Poor,No,Medium
P0230,26,Good,Yes,High
P0231,37,Average,Yes,Medium
P0232,41,Poor,No,High
P0233,23,Poor,Yes,High
P0234,35,Poor,No,High
P0235,45,Good,Yes,High
P0236,38,Average,No,High
P0237,25,Good,No,Medium
P0238,49,Poor,Yes,High
P0239,42,Poor,No,High
P0240,35,Poor,No,Medium
P0241,27,Good,No,High
P0242,49,Poor,No,High
P0243,24,Poor,Yes,High
P0244,23,Good,No,High
P0245,28,Average,No,Medium
P0246,50,Average,Yes,Low
P0247,34,Good,Yes,Medium
P0248,48,Poor,Yes,Medium
P0249,35,Average,Yes,Medium
P0250,48,Good,Yes,High
P0251,23,Good,Yes,Medium
P0252,29,Average,Yes,High
P0253,44,Good,No,Low
P0254,35,Poor,No,High
P0255,25,Average,Yes,Low
P0256,33,Good,Yes,Low
P0257,29,Good,Yes,Medium
P0258,38,Good,Yes,Low
P0259,33,Average,No,Low
P0260,48,Good,Yes,Low
P0261,49,Good,No,High
P0262,48,Good,No,High
P0263,26,Average,Yes,Low
P0264,41,Average,Yes,Medium
P0265,20,Good,No,Medium
P0266,35,Average,No,Low
P0267,27,Good,Yes,High
P0268,33,Poor,Yes,Medium
P0269,49,Average,No,Medium
P0270,47,Poor,No,High
P0271,46,Average,Yes,Low
P0272,44,Good,No,High
P0273,50,Average,Yes,Low
P0274,49,Good,No,Low
P0275,26,Average,Yes,High
P0276,23,Average,No,High
P0277,28,Poor,Yes,High
P0278,50,Average,No,High
P0279,35,Poor,No,Medium
P0280,45,Good,Yes,High
P0281,30,Good,No,Low
P0282,31,Average,Yes,Medium
P0283,43,Poor,Yes,Low
P0284,21,Poor,No,Medium
P0285,48,Average,No,High
P0286,25,Poor,Yes,Medium
P0287,26,Poor,Yes,Medium
P0288,43,Poor,No,Medium
P0289,36,Average,Yes,High
P0290,37,Good,No,Low
P0291,44,Average,No,Low
P0292,26,Good,Yes,High
P0293,23,Good,Yes,Low
P0294,40,Poor,Yes,Low
P0295,32,Poor,No,High
P0296,37,Average,No,High
P0297,21,Poor,No,Medium
P0298,22,Average,Yes,Medium
P0299,21,Poor,No,High
P0300,33,Average,No,Low
P0301,49,Poor,No,Medium
P0302,41,Average,No,Low
P0303,34,Poor,No,Medium
P0304,28,Good,Yes,Low
P0305,32,Poor,Yes,Medium
P0306,39,Good,Yes,Low
P0307,20,Average,No,High
P0308,35,Average,No,Low
P0309,29,Poor,Yes,High
P0310,37,Poor,No,Low
P0311,31,Poor,Yes,Low
P0312,22,Poor,No,High
P0313,27,Good,No,Medium
P0314,33,Poor,Yes,Low
P0315,21,Poor,No,Low
P0316,49,Poor,Yes,Medium
P0317,24,Average,No,Low
P0318,33,Average,No,Medium
P0319,31,Good,Yes,Low
P0320,21,Average,No,High
P0321,46,Good,Yes,High
P0322,44,Good,Yes,Medium
P0323,28,Good,Yes,High
P0324,48,Poor,Yes,Low
P0325,20,Poor,Yes,Low
P0326,43,Poor,Yes,Low
P0327,32,Poor,Yes,High
P0328,22,Poor,No,Medium
P0329,25,Average,No,High
P0330,46,Good,Yes,Low
P0331,27,Good,No,Low
P0332,39,Good,No,Low
P0333,22,Poor,Yes,Low
P0334,34,Good,Yes,High
P0335,42,Average,No,Low
P0336,25,Poor,Yes,High
P0337,24,Average,No,High
P0338,27,Poor,Yes,High
P0339,44,Good,No,Medium
P0340,32,Average,Yes,Medium
P0341,44,Poor,Yes,Medium
P0342,48,Average,Yes,Low
P0343,45,Average,No,Low
P0344,27,Poor,No,Low
P0345,36,Poor,Yes,Low
P0346,30,Average,No,Low
P0347,48,Poor,Yes,Medium
P0348,37,Good,Yes,High
P0349,24,Good,Yes,Medium
P0350,21,Average,No,Low
P0351,48,Good,Yes,High
P0352,26,Poor,No,Medium
P0353,26,Good,No,Medium
P0354,20,Good,Yes,Medium
P0355,22,Average,Yes,Medium
P0356,29,Average,Yes,Medium
P0357,27,Poor,No,Medium
P0358,25,Poor,No,High
P0359,30,Good,No,Medium
P0360,27,Average,No,High
P0361,34,Average,No,High
P0362,23,Good,Yes,High
P0363,46,Poor,Yes,Low
P0364,36,Average,No,Low
P0365,32,Average,No,Medium
P0366,37,Poor,No,Low
P0367,38,Poor,Yes,Medium
P0368,25,Good,No,Medium
P0369,29,Poor,Yes,Medium
P0370,44,Poor,Yes,Low
P0371,47,Average,No,High
P0372,43,Good,No,High
P0373,40,Good,Yes,Low
P0374,46,Good,No,Medium
P0375,32,Average,No,Low
P0376,43,Poor,No,Low
P0377,47,Average,No,High
P0378,20,Poor,Yes,Medium
P0379,34,Poor,No,Medium
P0380,26,Average,Yes,High
P0381,20,Poor,No,High
P0382,28,Poor,Yes,High
P0383,25,Average,Yes,Low
P0384,37,Poor,No,High
P0385,20,Average,Yes,High
P0386,24,Good,No,Low
P0387,23,Good,No,High
P0388,41,Good,No,Medium
P0389,45,Average,No,High
P0390,38,Good,Yes,Low
P0391,42,Poor,No,Low
P0392,23,Good,Yes,High
P0393,45,Average,Yes,High
P0394,34,Poor,No,Medium
P0395,41,Poor,Yes,High
P0396,37,Good,No,Low
P0397,45,Poor,No,Low
P0398,35,Good,Yes,Medium
P0399,40,Good,Yes,Low
P0400,31,Poor,No,Low
P0401,30,Poor,Yes,Medium
P0402,44,Average,Yes,High
P0403,29,Average,No,High
P0404,32,Average,Yes,High
P0405,20,Poor,Yes,Medium
