Project_ID,Project_Name,Location,Progress,Budget,Spent,Workers,Delay
P0001,Project_P0001,Hyderabad,84,25080668,12196604,109,No
P0002,Project_P0002,Mumbai,96,29236617,13699086,105,No
P0003,Project_P0003,Chennai,47,10644034,8046329,76,Yes
P0004,Project_P0004,Hyderabad,87,45294222,41694798,73,No
P0005,Project_P0005,Delhi,43,11716877,10568669,37,Yes
P0006,Project_P0006,Hyderabad,69,33969717,14053461,89,Yes
P0007,Project_P0007,Chennai,16,34717447,38440052,76,Yes
P0008,Project_P0008,Delhi,55,39350404,17642799,53,Yes
P0009,Project_P0009,Mumbai,58,47719333,56940581,102,No
P0010,Project_P0010,Bengaluru,70,45362735,48487928,114,Yes
P0011,Project_P0011,Mumbai,11,43795527,22831048,94,Yes
P0012,Project_P0012,Hyderabad,91,22918335,17187199,114,Yes
P0013,Project_P0013,Bengaluru,23,29960020,9810878,117,No
P0014,Project_P0014,Hyderabad,46,29793108,33090216,79,Yes
P0015,Project_P0015,Delhi,12,12440417,12277283,34,Yes
P0016,Project_P0016,Delhi,19,46681712,25642233,113,Yes
P0017,Project_P0017,Hyderabad,43,5854296,6111698,50,No
P0018,Project_P0018,Bengaluru,35,35786803,27748630,32,Yes
P0019,Project_P0019,Delhi,53,15294199,12003087,52,No
P0020,Project_P0020,Hyderabad,50,40872802,48673351,119,Yes
P0021,Project_P0021,Hyderabad,72,12792138,5510669,108,Yes
P0022,Project_P0022,Delhi,32,40194825,21383871,42,Yes
P0023,Project_P0023,Hyderabad,33,42691869,49025001,74,Yes
P0024,Project_P0024,Chennai,91,32135353,33537004,80,Yes
P0025,Project_P0025,Delhi,63,12918878,6382115,115,Yes
P0026,Project_P0026,Mumbai,27,9916977,3232797,25,Yes
P0027,Project_P0027,Bengaluru,56,30435457,16015517,42,Yes
P0028,Project_P0028,Delhi,17,5347289,4564721,14,Yes
P0029,Project_P0029,Hyderabad,46,37895928,30771355,63,Yes
P0030,Project_P0030,Chennai,79,8612001,6059259,64,Yes
P0031,Project_P0031,Mumbai,24,22503365,7007837,40,No
P0032,Project_P0032,Mumbai,96,37974195,28523845,103,Yes
P0033,Project_P0033,Delhi,32,17690164,18994167,55,Yes
P0034,Project_P0034,Chennai,75,29063718,11691382,91,Yes
P0035,Project_P0035,Chennai,64,49178342,29171700,100,No
P0036,Project_P0036,Mumbai,58,32124550,12585417,107,Yes
P0037,Project_P0037,Delhi,63,12408218,11380641,116,No
P0038,Project_P0038,Hyderabad,8,37153894,34858309,110,Yes
P0039,Project_P0039,Mumbai,22,39984156,24256758,118,Yes
P0040,Project_P0040,Mumbai,69,30789268,19821225,115,Yes
P0041,Project_P0041,Chennai,83,47372979,23594278,68,Yes
P0042,Project_P0042,Bengaluru,93,49822303,32200658,59,Yes
P0043,Project_P0043,Hyderabad,64,8734883,3970932,41,No
P0044,Project_P0044,Bengaluru,33,10957985,6848101,107,No
P0045,Project_P0045,Bengaluru,47,40265655,19165365,30,Yes
P0046,Project_P0046,Mumbai,70,6326410,4701501,115,No
P0047,Project_P0047,Bengaluru,8,42296061,31328473,61,Yes
P0048,Project_P0048,Mumbai,66,42659767,19486310,16,No
P0049,Project_P0049,Mumbai,41,23237841,15836957,72,Yes
P0050,Project_P0050,Mumbai,82,40690291,41171994,30,No
P0051,Project_P0051,Chennai,82,49580141,15333862,23,Yes
P0052,Project_P0052,Bengaluru,84,10441227,9137904,81,No
P0053,Project_P0053,Hyderabad,19,36734379,43907147,92,Yes
P0054,Project_P0054,Chennai,83,24206688,26485352,97,No
P0055,Project_P0055,Hyderabad,41,35301916,27529938,86,No
P0056,Project_P0056,Chennai,86,40454129,33484383,97,Yes
P0057,Project_P0057,Mumbai,73,14334610,5525771,27,Yes
P0058,Project_P0058,Chennai,27,18700897,21414309,90,Yes
P0059,Project_P0059,Delhi,43,10080568,4524937,81,Yes
P0060,Project_P0060,Bengaluru,73,32474007,27400603,11,Yes
P0061,Project_P0061,Hyderabad,96,12106013,14231192,31,No
P0062,Project_P0062,Chennai,79,13908639,7408208,95,Yes
P0063,Project_P0063,Hyderabad,87,15426137,4864655,120,No
P0064,Project_P0064,Hyderabad,43,13439845,12622500,67,No
P0065,Project_P0065,Bengaluru,82,44766690,42883420,105,No
P0066,Project_P0066,Bengaluru,81,30958019,10019973,33,No
P0067,Project_P0067,Mumbai,66,5992794,5129418,100,No
P0068,Project_P0068,Chennai,11,38868302,12528711,106,Yes
P0069,Project_P0069,Bengaluru,38,32022691,11490997,84,Yes
P0070,Project_P0070,Delhi,15,40655460,26183086,64,Yes
P0071,Project_P0071,Mumbai,93,7234433,8351905,62,No
P0072,Project_P0072,Mumbai,10,35316213,15437358,86,Yes
P0073,Project_P0073,Mumbai,68,48907926,47585964,19,Yes
P0074,Project_P0074,Chennai,85,45475043,27080288,47,Yes
P0075,Project_P0075,Delhi,94,34411414,23448236,18,No
P0076,Project_P0076,Hyderabad,60,28933712,14234264,114,Yes
P0077,Project_P0077,Bengaluru,33,35413804,16911047,52,No
P0078,Project_P0078,Bengaluru,6,5224717,1951953,12,Yes
