Project_ID,Workers,Engineers,Cranes,Excavators,Cement,Steel,Bricks,Shortage
P0001,109,11,8,4,Low,Low,Available,Yes
P0002,105,13,8,5,Low,Available,Available,Yes
P0003,76,12,7,4,Low,Low,Low,Yes
P0004,73,2,4,3,Available,Low,Available,No
P0005,37,12,8,2,Low,Low,Available,Yes
P0006,89,10,6,4,Low,Available,Available,No
P0007,76,12,8,1,Low,Available,Low,Yes
P0008,53,2,2,4,Available,Low,Low,Yes
P0009,102,5,1,3,Low,Available,Available,Yes
P0010,114,5,1,3,Available,Low,Available,Yes
P0011,94,2,8,6,Low,Available,Available,No
P0012,114,4,2,2,Low,Low,Low,Yes
P0013,117,13,5,6,Available,Available,Low,No
P0014,79,11,4,1,Available,Available,Low,No
P0015,34,13,4,4,Available,Available,Low,No
P0016,113,3,2,6,Low,Low,Low,No
P0017,50,15,2,1,Low,Available,Low,No
P0018,32,3,5,1,Available,Low,Available,Yes
P0019,52,14,5,5,Available,Low,Low,Yes
P0020,119,8,2,6,Low,Low,Available,No
P0021,108,10,2,6,Low,Low,Low,Yes
P0022,42,2,8,1,Low,Available,Available,No
P0023,74,2,2,1,Available,Low,Available,No
P0024,80,10,7,4,Available,Low,Available,Yes
P0025,115,7,2,1,Available,Available,Available,Yes
P0026,25,4,2,4,Low,Low,Low,No
P0027,42,3,4,2,Available,Available,Low,Yes
P0028,14,7,4,2,Low,Available,Low,Yes
P0029,63,13,6,4,Low,Low,Low,No
P0030,64,5,1,1,Available,Low,Low,No
P0031,40,4,6,5,Low,Available,Available,Yes
P0032,103,8,4,6,Low,Low,Available,No
P0033,55,14,7,1,Available,Low,Low,Yes
P0034,91,2,7,5,Available,Low,Available,No
P0035,100,11,8,5,Available,Available,Available,No
P0036,107,14,5,2,Low,Low,Low,Yes
P0037,116,9,2,3,Available,Low,Low,Yes
P0038,110,12,4,4,Low,Available,Low,No
P0039,118,3,5,3,Low,Available,Available,Yes
P0040,115,5,7,1,Available,Low,Available,Yes
P0041,68,15,6,1,Available,Low,Low,No
P0042,59,13,2,5,Available,Low,Available,No
P0043,41,8,8,4,Available,Available,Low,Yes
P0044,107,12,5,5,Low,Available,Low,Yes
P0045,30,5,3,5,Low,Available,Low,Yes
P0046,115,12,2,2,Available,Low,Low,Yes
P0047,61,14,2,6,Low,Available,Low,Yes
P0048,16,13,4,4,Available,Low,Available,No
P0049,72,4,5,2,Available,Low,Low,Yes
P0050,30,13,7,6,Low,Available,Available,No
P0051,23,14,6,4,Available,Available,Low,Yes
P0052,81,6,1,4,Available,Low,Low,Yes
P0053,92,8,3,1,Low,Available,Low,Yes
P0054,97,6,2,6,Available,Available,Available,Yes
P0055,86,4,7,1,Low,Available,Available,No
P0056,97,5,2,4,Low,Low,Low,Yes
P0057,27,12,5,3,Low,Low,Low,Yes
P0058,90,7,1,4,Available,Low,Available,Yes
P0059,81,5,1,2,Available,Available,Low,No
P0060,11,2,7,2,Available,Low,Available,Yes
P0061,31,2,7,1,Available,Low,Low,No
P0062,95,15,5,5,Low,Available,Low,Yes
P0063,120,14,5,3,Available,Available,Low,Yes
P0064,67,13,8,5,Available,Low,Available,Yes
P0065,105,4,2,4,Available,Low,Low,No
P0066,33,6,8,5,Low,Available,Available,No
P0067,100,13,5,2,Available,Low,Available,No
P0068,106,3,6,2,Available,Low,Available,Yes
P0069,84,5,1,4,Available,Available,Low,Yes
P0070,64,13,3,2,Available,Available,Available,Yes
P0071,62,12,1,5,Low,Low,Low,No
P0072,86,11,5,2,Low,Available,Low,No
P0073,19,9,8,3,Low,Available,Low,No
P0074,47,9,8,1,Available,Available,Low,No
P0075,18,14,3,5,Available,Available,Available,Yes
P0076,114,9,1,1,Low,Available,Low,Yes
P0077,52,7,5,1,Low,Available,Low,Yes
P0078,12,14,1,4,Low,Low,Low,Yes
P0079,14,3,3,2,Available,Available,Available,No
P0080,80,9,4,1,Low,Available,Available,No
P0081,30,9,3,1,Low,Available,Low,No
P0082,25,15,8,2,Low,Low,Low,No
P0083,20,13,5,4,Available,Available,Low,Yes
P0084,22,3,4,6,Available,Available,Low,No
P0085,109,2,8,5,Low,Available,Available,No
P0086,45,14,2,1,Available,Low,Available,No
P0087,43,7,1,6,Low,Available,Low,Yes
P0088,45,7,5,2,Low,Low,Available,Yes
P0089,96,4,8,5,Available,Low,Low,Yes
P0090,29,2,5,2,Available,Low,Low,Yes
P0091,104,3,6,6,Low,Low,Low,No
P0092,117,15,5,5,Low,Low,Available,Yes
P0093,38,14,3,4,Low,Low,Available,Yes
P0094,20,3,6,1,Available,Available,Low,No
P0095,10,8,8,1,Available,Available,Low,Yes
P0096,92,13,3,1,Available,Available,Low,Yes
P0097,83,5,7,2,Low,Low,Low,Yes
P0098,83,10,6,5,Low,Available,Available,Yes
P0099,10,15,8,3,Low,Available,Available,No
P0100,73,13,3,5,Low,Available,Available,Yes
P0101,11,2,8,4,Available,Available,Low,No
P0102,63,12,6,1,Available,Low,Available,No
P0103,98,9,6,1,Available,Low,Available,No
P0104,119,2,6,4,Available,Available,Available,No
P0105,63,13,6,2,Low,Low,Available,Yes
P0106,40,9,2,1,Low,Available,Low,Yes
P0107,29,7,7,5,Low,Low,Available,No
P0108,27,15,1,6,Low,Low,Low,No
P0109,33,3,7,6,Low,Available,Low,Yes
P0110,97,4,4,1,Available,Available,Available,Yes
P0111,48,14,5,2,Low,Available,Low,No
P0112,117,3,8,2,Available,Low,Low,Yes
P0113,73,6,2,5,Low,Available,Available,Yes
P0114,27,15,5,6,Available,Available,Available,Yes
P0115,119,8,6,5,Low,Low,Available,No
P0116,48,11,7,4,Available,Low,Low,Yes
