Project_ID,Helmet,Vest,Gloves,Safety_Shoes,Accident,Risk_Level
P0001,Yes,Yes,Yes,No,No,Medium
P0002,No,Yes,Yes,No,No,Low
P0003,No,Yes,No,Yes,No,Low
P0004,No,No,No,Yes,Yes,High
P0005,Yes,No,No,No,Yes,High
P0006,Yes,No,No,No,Yes,High
P0007,Yes,No,Yes,Yes,No,Low
P0008,Yes,Yes,Yes,Yes,No,Low
P0009,No,Yes,No,No,Yes,High
P0010,Yes,Yes,No,Yes,No,Medium
P0011,No,Yes,Yes,Yes,No,Medium
P0012,No,Yes,No,Yes,Yes,High
P0013,No,Yes,Yes,No,No,Medium
P0014,Yes,No,Yes,No,No,Medium
P0015,Yes,No,No,No,Yes,High
P0016,Yes,No,No,Yes,No,Low
P0017,Yes,Yes,Yes,No,No,Low
P0018,Yes,Yes,Yes,No,No,Low
P0019,Yes,Yes,No,Yes,No,Low
P0020,No,Yes,No,Yes,No,Medium
P0021,No,No,Yes,No,Yes,High
P0022,Yes,Yes,Yes,Yes,No,Medium
P0023,No,No,No,No,Yes,High
P0024,Yes,No,Yes,Yes,No,Medium
P0025,No,No,No,Yes,Yes,High
P0026,No,Yes,No,Yes,No,Low
P0027,Yes,No,Yes,No,No,Medium
P0028,No,Yes,No,Yes,No,Medium
P0029,No,No,Yes,No,No,Low
P0030,Yes,Yes,No,Yes,No,Low
P0031,Yes,No,Yes,Yes,Yes,High
P0032,No,No,No,Yes,No,Low
P0033,No,Yes,No,No,No,Medium
P0034,Yes,No,No,Yes,No,Low
P0035,No,Yes,No,No,No,Medium
P0036,No,No,Yes,Yes,No,Medium
P0037,Yes,No,No,Yes,Yes,High
P0038,No,No,No,Yes,No,Low
P0039,Yes,No,Yes,Yes,Yes,High
P0040,Yes,Yes,Yes,Yes,No,Low
P0041,Yes,No,No,No,No,Medium
P0042,Yes,No,Yes,Yes,Yes,High
P0043,No,Yes,Yes,No,No,Medium
P0044,Yes,Yes,No,No,No,Medium
P0045,Yes,No,Yes,No,No,Medium
P0046,Yes,Yes,Yes,No,No,Medium
P0047,Yes,No,No,Yes,No,Medium
P0048,Yes,Yes,Yes,No,No,Low
P0049,Yes,No,Yes,No,No,Low
P0050,Yes,No,No,No,No,Low
P0051,Yes,No,No,No,Yes,High
P0052,No,No,No,No,Yes,High
P0053,No,Yes,Yes,Yes,No,Medium
P0054,No,Yes,Yes,Yes,Yes,High
P0055,No,Yes,No,No,Yes,High
P0056,Yes,Yes,No,Yes,No,Low
P0057,No,Yes,Yes,No,Yes,High
P0058,No,Yes,Yes,Yes,Yes,High
P0059,Yes,Yes,Yes,Yes,No,Medium
P0060,Yes,No,No,No,Yes,High
P0061,No,No,Yes,Yes,No,Low
P0062,Yes,Yes,Yes,Yes,No,Low
P0063,No,Yes,Yes,No,No,Low
P0064,Yes,No,No,Yes,No,Medium
P0065,No,Yes,Yes,No,Yes,High
P0066,Yes,No,No,No,No,Low
P0067,Yes,No,Yes,Yes,No,Low
P0068,No,No,Yes,Yes,No,Medium
P0069,No,Yes,No,No,No,Low
P0070,No,No,No,Yes,Yes,High
P0071,Yes,No,No,No,No,Low
P0072,Yes,No,Yes,No,Yes,High
P0073,Yes,Yes,No,No,No,Low
P0074,No,Yes,Yes,No,Yes,High
P0075,Yes,Yes,Yes,No,No,Low
P0076,No,Yes,No,No,No,Low
P0077,Yes,Yes,No,Yes,No,Low
P0078,No,No,Yes,No,Yes,High
P0079,No,Yes,No,No,Yes,High
P0080,No,Yes,Yes,No,Yes,High
P0081,No,Yes,No,Yes,Yes,High
P0082,No,Yes,Yes,No,Yes,High
P0083,Yes,Yes,Yes,Yes,No,Medium
P0084,No,Yes,No,No,No,Medium
P0085,Yes,Yes,Yes,Yes,No,Medium
P0086,Yes,Yes,Yes,Yes,No,Medium
P0087,Yes,No,Yes,No,No,Low
P0088,No,No,Yes,Yes,No,Low
P0089,Yes,Yes,Yes,No,No,Medium
P0090,No,Yes,Yes,Yes,Yes,High
P0091,No,No,No,Yes,Yes,High
P0092,No,No,No,Yes,No,Medium
P0093,No,Yes,No,No,No,Medium
P0094,Yes,Yes,Yes,Yes,No,Low
P0095,Yes,Yes,Yes,Yes,No,Medium
P0096,No,Yes,Yes,Yes,Yes,High
P0097,No,No,No,Yes,Yes,High
P0098,No,No,No,No,No,Medium
P0099,No,No,No,No,Yes,High
P0100,No,Yes,Yes,Yes,No,Medium
P0101,No,Yes,No,Yes,Yes,High
P0102,No,No,Yes,Yes,Yes,High
P0103,No,Yes,No,No,Yes,High
P0104,Yes,No,Yes,No,Yes,High
P0105,No,Yes,Yes,Yes,Yes,High
P0106,Yes,Yes,No,No,No,Medium
P0107,Yes,Yes,No,No,No,Low
P0108,No,Yes,No,Yes,Yes,High
P0109,No,No,Yes,No,Yes,High
P0110,No,No,No,No,Yes,High
P0111,No,No,Yes,No,No,Medium
P0112,Yes,No,No,No,No,Medium
P0113,No,No,Yes,Yes,Yes,High
P0114,No,No,No,Yes,No,Medium
P0115,No,Yes,Yes,Yes,No,Low
P0116,No,Yes,No,Yes,No,Low
P0117,Yes,No,Yes,No,Yes,High
P0118,Yes,No,No,No,Yes,High
P0119,Yes,Yes,Yes,No,No,Low
P0120,No,No,No,Yes,Yes,High
P0121,Yes,Yes,Yes,Yes,No,Low
P0122,Yes,No,Yes,Yes,No,Medium
P0123,Yes,No,No,No,No,Low
P0124,Yes,Yes,No,No,No,Low
P0125,No,No,No,Yes,Yes,High
P0126,No,No,No,Yes,Yes,High
P0127,Yes,Yes,No,Yes,No,Medium
P0128,No,No,No,Yes,Yes,High
P0129,No,Yes,No,Yes,Yes,High
P0130,Yes,Yes,No,No,No,Medium
P0131,No,Yes,Yes,Yes,No,Medium
P0132,No,Yes,Yes,No,No,Low
P0133,Yes,No,No,Yes,No,Low
P0134,Yes,No,No,No,Yes,High
P0135,No,Yes,Yes,No,Yes,High
P0136,Yes,Yes,Yes,Yes,No,Low
P0137,No,No,Yes,Yes,No,Medium
P0138,Yes,Yes,Yes,No,No,Medium
P0139,Yes,No,No,No,No,Medium
P0140,No,No,No,Yes,No,Medium
P0141,Yes,Yes,Yes,Yes,No,Medium
P0142,Yes,No,No,No,No,Low
P0143,No,No,No,Yes,No,Low
P0144,Yes,No,No,No,Yes,High
P0145,Yes,No,Yes,No,Yes,High
P0146,Yes,Yes,Yes,No,No,Medium
P0147,No,No,Yes,Yes,No,Medium
P0148,No,Yes,No,Yes,No,Medium
P0149,No,Yes,Yes,Yes,No,Medium
P0150,Yes,Yes,No,No,No,Low
P0151,Yes,No,Yes,No,Yes,High
P0152,Yes,Yes,Yes,No,No,Medium
P0153,No,Yes,No,Yes,No,Low
P0154,No,No,No,Yes,Yes,High
P0155,Yes,No,Yes,Yes,Yes,High
P0156,No,Yes,Yes,Yes,Yes,High
P0157,No,No,Yes,Yes,No,Low
P0158,No,Yes,No,No,Yes,High
P0159,No,No,No,Yes,Yes,High
P0160,No,Yes,Yes,No,Yes,High
P0161,Yes,No,Yes,Yes,Yes,High
P0162,No,Yes,No,Yes,No,Medium
P0163,Yes,Yes,No,No,No,Medium
P0164,Yes,Yes,No,Yes,No,Low
P0165,Yes,Yes,Yes,No,No,Low
P0166,No,Yes,No,No,No,Medium
P0167,Yes,Yes,No,Yes,No,Medium
P0168,No,No,Yes,No,No,Low
P0169,No,Yes,No,No,Yes,High
P0170,Yes,Yes,No,No,No,Medium
P0171,Yes,Yes,Yes,No,No,Low
P0172,Yes,Yes,No,No,No,Low
P0173,Yes,No,No,No,No,Medium
P0174,No,Yes,No,No,No,Low
P0175,Yes,Yes,Yes,Yes,No,Medium
P0176,Yes,Yes,No,No,No,Medium
P0177,Yes,Yes,No,No,No,Medium
P0178,No,No,No,Yes,No,Medium
P0179,Yes,No,Yes,No,Yes,High
P0180,No,No,Yes,No,No,Low
P0181,Yes,No,No,No,No,Low
P0182,Yes,Yes,Yes,No,No,Low
P0183,Yes,Yes,Yes,No,No,Low
P0184,No,No,Yes,No,Yes,High
P0185,Yes,No,No,Yes,Yes,High
P0186,No,No,No,No,No,Medium
P0187,No,Yes,Yes,Yes,Yes,High
P0188,Yes,Yes,No,No,No,Low
P0189,Yes,Yes,No,No,No,Low
P0190,Yes,Yes,Yes,No,No,Medium
P0191,Yes,No,Yes,Yes,No,Low
P0192,No,Yes,Yes,No,Yes,High
P0193,Yes,Yes,No,No,No,Low
P0194,No,No,No,Yes,Yes,High
P0195,Yes,Yes,Yes,Yes,No,Low
P0196,No,No,No,Yes,Yes,High
P0197,Yes,Yes,No,No,No,Low
P0198,Yes,No,No,No,No,Medium
P0199,Yes,Yes,No,No,No,Medium
P0200,Yes,Yes,No,No,No,Medium
P0201,Yes,Yes,No,Yes,No,Medium
P0202,No,Yes,No,No,Yes,High
P0203,No,No,No,Yes,Yes,High
P0204,No,Yes,No,Yes,No,Low
P0205,No,No,Yes,Yes,No,Medium
P0206,No,Yes,No,Yes,No,Medium
P0207,No,No,No,No,Yes,High
P0208,No,No,Yes,Yes,No,Medium
P0209,Yes,No,Yes,Yes,No,Medium
P0210,No,Yes,Yes,Yes,No,Low
P0211,Yes,No,Yes,Yes,Yes,High
P0212,Yes,No,Yes,No,Yes,High
P0213,No,No,Yes,No,Yes,High
P0214,Yes,Yes,No,No,No,Medium
P0215,No,Yes,No,Yes,No,Low
P0216,No,Yes,No,No,No,Low
P0217,No,No,No,No,Yes,High
P0218,No,No,No,No,Yes,High
P0219,Yes,No,Yes,No,Yes,High
P0220,Yes,Yes,No,No,No,Medium
P0221,No,Yes,Yes,No,Yes,High
P0222,No,No,Yes,Yes,Yes,High
P0223,No,Yes,Yes,No,No,Medium
P0224,No,Yes,No,No,No,Medium
P0225,No,No,Yes,Yes,Yes,High
P0226,No,Yes,Yes,Yes,Yes,High
P0227,Yes,No,Yes,Yes,No,Medium
P0228,Yes,Yes,Yes,No,No,Medium
P0229,Yes,No,Yes,Yes,No,Medium
P0230,Yes,No,Yes,Yes,Yes,High
P0231,Yes,Yes,No,No,No,Medium
P0232,No,Yes,No,Yes,Yes,High
P0233,Yes,No,No,No,Yes,High
P0234,Yes,No,Yes,No,Yes,High
P0235,No,No,No,Yes,Yes,High
P0236,No,No,No,Yes,Yes,High
P0237,No,No,Yes,No,No,Medium
P0238,No,No,Yes,Yes,Yes,High
P0239,No,No,Yes,No,Yes,High
P0240,No,Yes,No,Yes,No,Medium
P0241,Yes,No,Yes,No,Yes,High
P0242,Yes,No,Yes,No,Yes,High
P0243,Yes,No,No,No,Yes,High
P0244,No,No,Yes,No,Yes,High
P0245,Yes,Yes,Yes,No,No,Medium
P0246,Yes,Yes,Yes,Yes,No,Low
P0247,No,Yes,Yes,No,No,Medium
P0248,No,Yes,No,Yes,No,Medium
P0249,No,Yes,Yes,No,No,Medium
P0250,Yes,No,Yes,No,Yes,High
P0251,No,Yes,No,No,No,Medium
