Project_ID,Planned_Duration,Actual_Duration,Completed_Work,Pending_Work,Delay_Days
P0001,180,180,84,16,0
P0002,180,180,96,4,0
P0003,180,193,47,53,13
P0004,180,181,87,13,1
P0005,180,192,43,57,12
P0006,180,193,69,31,13
P0007,180,196,16,84,16
P0008,180,191,55,45,11
P0009,180,182,58,42,2
P0010,180,193,70,30,13
P0011,180,191,11,89,11
P0012,180,187,91,9,7
P0013,180,185,23,77,5
P0014,180,189,46,54,9
P0015,180,197,12,88,17
P0016,180,195,19,81,15
P0017,180,185,43,57,5
P0018,180,192,35,65,12
P0019,180,183,53,47,3
P0020,180,194,50,50,14
P0021,180,187,72,28,7
P0022,180,190,32,68,10
P0023,180,193,33,67,13
P0024,180,188,91,9,8
P0025,180,189,63,37,9
P0026,180,186,27,73,6
P0027,180,188,56,44,8
P0028,180,189,17,83,9
P0029,180,191,46,54,11
P0030,180,190,79,21,10
P0031,180,185,24,76,5
P0032,180,189,96,4,9
P0033,180,187,32,68,7
P0034,180,191,75,25,11
P0035,180,181,64,36,1
P0036,180,186,58,42,6
P0037,180,182,63,37,2
P0038,180,187,8,92,7
P0039,180,193,22,78,13
P0040,180,189,69,31,9
P0041,180,188,83,17,8
P0042,180,190,93,7,10
P0043,180,185,64,36,5
P0044,180,185,33,67,5
P0045,180,192,47,53,12
P0046,180,185,70,30,5
P0047,180,187,8,92,7
P0048,180,184,66,34,4
P0049,180,194,41,59,14
P0050,180,184,82,18,4
P0051,180,188,82,18,8
P0052,180,180,84,16,0
P0053,180,186,19,81,6
P0054,180,180,83,17,0
P0055,180,183,41,59,3
P0056,180,187,86,14,7
P0057,180,191,73,27,11
P0058,180,186,27,73,6
P0059,180,195,43,57,15
P0060,180,191,73,27,11
P0061,180,183,96,4,3
P0062,180,186,79,21,6
P0063,180,185,87,13,5
P0064,180,183,43,57,3
P0065,180,181,82,18,1
P0066,180,181,81,19,1
P0067,180,183,66,34,3
P0068,180,187,11,89,7
P0069,180,195,38,62,15
P0070,180,190,15,85,10
P0071,180,182,93,7,2
P0072,180,199,10,90,19
P0073,180,190,68,32,10
P0074,180,186,85,15,6
P0075,180,182,94,6,2
P0076,180,193,60,40,13
P0077,180,185,33,67,5
P0078,180,197,6,94,17
P0079,180,196,27,73,16
P0080,180,187,94,6,7
P0081,180,181,70,30,1
P0082,180,188,61,39,8
P0083,180,188,24,76,8
P0084,180,182,77,23,2
P0085,180,188,45,55,8
P0086,180,188,64,36,8
P0087,180,184,49,51,4
P0088,180,196,31,69,16
P0089,180,188,72,28,8
P0090,180,184,93,7,4
P0091,180,188,32,68,8
P0092,180,188,8,92,8
P0093,180,187,34,66,7
P0094,180,196,12,88,16
P0095,180,185,85,15,5
P0096,180,188,64,36,8
P0097,180,196,16,84,16
P0098,180,193,69,31,13
P0099,180,188,35,65,8
P0100,180,182,86,14,2
P0101,180,194,50,50,14
P0102,180,196,17,83,16
P0103,180,190,45,55,10
P0104,180,192,23,77,12
P0105,180,186,95,5,6
P0106,180,191,44,56,11
P0107,180,193,43,57,13
P0108,180,189,9,91,9
P0109,180,191,25,75,11
P0110,180,187,13,87,7
P0111,180,197,5,95,17
P0112,180,194,53,47,14
P0113,180,192,40,60,12
P0114,180,187,17,83,7
P0115,180,191,18,82,11
P0116,180,183,53,47,3
P0117,180,184,61,39,4
P0118,180,186,90,10,6
P0119,180,190,86,14,10
P0120,180,189,92,8,9
P0121,180,187,92,8,7
P0122,180,193,5,95,13
P0123,180,180,80,20,0
P0124,180,184,96,4,4
P0125,180,187,21,79,7
P0126,180,187,14,86,7
P0127,180,197,22,78,17
P0128,180,194,47,53,14
P0129,180,193,64,36,13
P0130,180,191,59,41,11
P0131,180,187,58,42,7
P0132,180,196,7,93,16
P0133,180,187,26,74,7
P0134,180,188,30,70,8
P0135,180,190,31,69,10
P0136,180,187,88,12,7
P0137,180,194,13,87,14
P0138,180,193,22,78,13
P0139,180,189,57,43,9
P0140,180,184,74,26,4
P0141,180,189,45,55,9
P0142,180,190,58,42,10
P0143,180,188,60,40,8
P0144,180,187,90,10,7
P0145,180,189,100,0,9
P0146,180,187,20,80,7
P0147,180,183,49,51,3
P0148,180,199,7,93,19
P0149,180,195,12,88,15
P0150,180,195,42,58,15
P0151,180,180,97,3,0
P0152,180,190,14,86,10
P0153,180,185,62,38,5
P0154,180,189,93,7,9
P0155,180,189,88,12,9
P0156,180,190,97,3,10
P0157,180,196,13,87,16
P0158,180,193,7,93,13
P0159,180,193,57,43,13
P0160,180,181,72,28,1
P0161,180,188,53,47,8
P0162,180,188,82,18,8
P0163,180,197,23,77,17
P0164,180,182,84,16,2
P0165,180,182,63,37,2
P0166,180,191,21,79,11
P0167,180,183,91,9,3
P0168,180,187,87,13,7
P0169,180,191,8,92,11
P0170,180,180,86,14,0
P0171,180,189,27,73,9
P0172,180,195,39,61,15
P0173,180,187,19,81,7
P0174,180,181,78,22,1
P0175,180,184,92,8,4
P0176,180,190,19,81,10
P0177,180,184,94,6,4
P0178,180,186,82,18,6
P0179,180,184,58,42,4
P0180,180,187,10,90,7
P0181,180,189,33,67,9
P0182,180,180,73,27,0
P0183,180,185,77,23,5
P0184,180,193,52,48,13
P0185,180,192,75,25,12
P0186,180,180,88,12,0
P0187,180,193,19,81,13
P0188,180,189,59,41,9
P0189,180,190,86,14,10
P0190,180,184,41,59,4
P0191,180,191,65,35,11
P0192,180,180,100,0,0
P0193,180,193,27,73,13
P0194,180,188,8,92,8
P0195,180,180,94,6,0
P0196,180,193,18,82,13
P0197,180,184,58,42,4
P0198,180,188,84,16,8
P0199,180,193,28,72,13
P0200,180,189,88,12,9
P0201,180,195,47,53,15
P0202,180,190,21,79,10
P0203,180,194,7,93,14
P0204,180,187,87,13,7
P0205,180,186,52,48,6
P0206,180,186,98,2,6
P0207,180,195,47,53,15
P0208,180,183,71,29,3
P0209,180,180,98,2,0
P0210,180,191,16,84,11
P0211,180,185,95,5,5
P0212,180,193,45,55,13
P0213,180,185,36,64,5
P0214,180,192,74,26,12
P0215,180,194,46,54,14
P0216,180,189,82,18,9
P0217,180,191,29,71,11
P0218,180,185,33,67,5
P0219,180,194,43,57,14
P0220,180,191,44,56,11
P0221,180,191,83,17,11
P0222,180,188,11,89,8
P0223,180,182,58,42,2
P0224,180,181,86,14,1
P0225,180,182,76,24,2
P0226,180,196,9,91,16
P0227,180,183,85,15,3
P0228,180,195,14,86,15
P0229,180,194,34,66,14
P0230,180,185,23,77,5
P0231,180,186,33,67,6
P0232,180,190,18,82,10
P0233,180,185,56,44,5
P0234,180,184,74,26,4
P0235,180,188,49,51,8
P0236,180,180,95,5,0
P0237,180,193,57,43,13
P0238,180,188,55,45,8
P0239,180,191,9,91,11
P0240,180,180,83,17,0
P0241,180,195,21,79,15
P0242,180,189,28,72,9
P0243,180,182,60,40,2
P0244,180,190,98,2,10
P0245,180,182,84,16,2
P0246,180,189,80,20,9
P0247,180,188,59,41,8
P0248,180,188,65,35,8
P0249,180,193,6,94,13
P0250,180,189,77,23,9
P0251,180,196,18,82,16
P0252,180,180,96,4,0
P0253,180,191,50,50,11
P0254,180,193,22,78,13
P0255,180,189,22,78,9
P0256,180,183,81,19,3
P0257,180,191,80,20,11
P0258,180,188,96,4,8
P0259,180,195,22,78,15
P0260,180,186,66,34,6
P0261,180,193,11,89,13
P0262,180,186,13,87,6
P0263,180,183,55,45,3
P0264,180,193,24,76,13
P0265,180,185,31,69,5
P0266,180,190,95,5,10
P0267,180,184,42,58,4
P0268,180,188,5,95,8
P0269,180,183,71,29,3
P0270,180,194,32,68,14
P0271,180,186,23,77,6
P0272,180,188,65,35,8
P0273,180,180,97,3,0
P0274,180,184,42,58,4
P0275,180,182,87,13,2
P0276,180,192,58,42,12
P0277,180,184,86,14,4
P0278,180,190,5,95,10
P0279,180,185,99,1,5
P0280,180,186,89,11,6
P0281,180,184,91,9,4
P0282,180,186,52,48,6
P0283,180,192,28,72,12
P0284,180,180,85,15,0
P0285,180,197,20,80,17
P0286,180,185,28,72,5
P0287,180,185,36,64,5
P0288,180,185,73,27,5
P0289,180,183,96,4,3
P0290,180,189,82,18,9
P0291,180,184,59,41,4
P0292,180,194,13,87,14
P0293,180,186,100,0,6
P0294,180,180,89,11,0
P0295,180,185,97,3,5
P0296,180,184,42,58,4
P0297,180,191,51,49,11
P0298,180,181,88,12,1
P0299,180,194,8,92,14
P0300,180,186,51,49,6
P0301,180,198,18,82,18
P0302,180,197,10,90,17
P0303,180,183,45,55,3
P0304,180,189,69,31,9
P0305,180,183,44,56,3
P0306,180,187,74,26,7
P0307,180,191,60,40,11
P0308,180,194,36,64,14
P0309,180,184,89,11,4
P0310,180,181,100,0,1
P0311,180,188,95,5,8
P0312,180,190,81,19,10
P0313,180,185,28,72,5
P0314,180,190,38,62,10
P0315,180,181,83,17,1
P0316,180,186,42,58,6
P0317,180,191,60,40,11
P0318,180,182,56,44,2
P0319,180,185,52,48,5
P0320,180,182,97,3,2
P0321,180,188,94,6,8
P0322,180,187,12,88,7
P0323,180,192,20,80,12
P0324,180,195,7,93,15
P0325,180,190,66,34,10
P0326,180,185,42,58,5
P0327,180,190,64,36,10
P0328,180,198,11,89,18
P0329,180,188,59,41,8
P0330,180,186,53,47,6
P0331,180,186,56,44,6
P0332,180,193,14,86,13
P0333,180,184,99,1,4
P0334,180,194,52,48,14
P0335,180,189,61,39,9
P0336,180,190,68,32,10
P0337,180,191,23,77,11
P0338,180,188,13,87,8
P0339,180,187,31,69,7
P0340,180,191,77,23,11
P0341,180,186,72,28,6
P0342,180,194,40,60,14
P0343,180,195,38,62,15
P0344,180,190,57,43,10
P0345,180,180,99,1,0
P0346,180,188,86,14,8
P0347,180,181,73,27,1
P0348,180,184,31,69,4
P0349,180,182,94,6,2
P0350,180,195,32,68,15
P0351,180,185,47,53,5
P0352,180,198,7,93,18
P0353,180,188,70,30,8
P0354,180,185,81,19,5
P0355,180,183,48,52,3
P0356,180,185,84,16,5
P0357,180,181,66,34,1
P0358,180,188,74,26,8
P0359,180,193,26,74,13
P0360,180,183,81,19,3
P0361,180,190,81,19,10
P0362,180,195,30,70,15
P0363,180,193,48,52,13
P0364,180,195,41,59,15
P0365,180,191,61,39,11
P0366,180,192,79,21,12
P0367,180,194,59,41,14
P0368,180,193,52,48,13
P0369,180,192,54,46,12
P0370,180,187,7,93,7
P0371,180,195,38,62,15
P0372,180,183,46,54,3
P0373,180,189,5,95,9
P0374,180,187,89,11,7
